#GENE	CONDITION	INHERITANCE	AGE GROUP
SNRNP200	Retinitis pigmentosa 33	AD	N/A
SNRPE	Hypotrichosis 11	AD	N/A
SNTA1	Long QT syndrome 12	AD	Adult
SNX10	Osteopetrosis, autosomal recessive 8	AR	Pediatric
SNX14	Spinocerebellar ataxia, autosomal recessive 20	AR	N/A
SOBP	Mental retardation, anterior maxillary protrusion, and strabismus	AR	N/A
SOD1	Amyotrophic lateral sclerosis; Keratoconus	AD/AR	N/A
SOS1	Noonan syndrome 4	AD	Pediatric
SOS2	Noonan syndrome 9	AD	Pediatrics
SOST	Craniodiaphyseal dysplasia, autosomal dominant; Sclerosteosis 1; van Buchem disease 	AD/AR	Pediatric
SOX10	Waardenburg syndrome, type 4C; Waardenburg syndrome, type 2E; Peripheral demyelinating neuropathy, central dysmyelination, Waardenburg syndrome, and Hirschsprung disease; Hirschsprung disease, susceptibility to, 10	AD	Pediatric
SOX11	Mental retardation, autosomal dominant 27	AD	N/A
SOX17	Vesicoureteral reflux 3	AD	Pediatric
SOX18	Hypotrichosis-lymphedema-telangiectasia syndrome; Hypotrichosis-lymphedema-telangiectasia-renal defect  syndrome	AD/AR	N/A
SOX2	Microphthalmia, syndromic 3	AD	Pediatric
SOX3	Panhypopituitarism, X-linked	XL	Pediatric
SOX9	46, XY sex reversal 10; Campomelic dysplasia	AD	Pediatric
SP110	Hepatic venoocclusive disease with immunodeficiency	AR	Pediatric
SP7	Osteogenesis imperfecta, type XII	AR	N/A
SPARC	Keratoconus; Osteogenesis imperfecta, type XVII	AD/AR	N/A
SPAST	Spastic paraplegia 4, autosomal dominant	AD	N/A
SPATA16	Spermatogenic failure 6	AR	N/A
SPATA5	Epilepsy, hearing loss, and mental retardation syndrome (EHLMRS)	AR	Pediatric
SPATA7	Leber congenital amaurosis 3; Retitinitis pigmentosa, juvenile, SPATA7-related	AR	N/A
SPECC1L	Facial clefting, oblique, 1; Opitz GBBB syndrome, type II	AD	N/A
SPEG	Centronuclear myopathy 5	AR	Pediatric
SPG11	Amyotrophic lateral sclerosis 5, juvenile recessive; Spastic paraplegia 11	AR	N/A
SPG20	Spastic paraplegia 20 (Troyer syndrome)	AR	N/A
SPG21	Spastic paraplegia 21 (Mast syndrome)	AR	N/A
SPG7	Spastic paraplegia 7, autosomal recessive	AR	N/A
SPINK1	Pancreatitis, hereditary	AD	Pediatric
SPINK5	Netherton syndrome	AR	Pediatric
SPINT2	Diarrhea 3, secretory sodium, congenital, with or without other congenital anomalies	AD	Pediatric
SPR	Dystonia, Dopa-responsive, due to sepiapterin reductase deficiency	AR	Pediatric
SPRED1	Legius syndrome	AD	N/A
SPRY4	Hypogonadotropic hypogonadism 17, with or without anosmia	AD/Digenic	Pediatric
SPTA1	Spherocytosis, type 3; Pyropoikilocytosis , hereditary; Ellipsocytosis 2	AD/AR	Pediatric
SPTAN1	Epileptic encephalopathy, early infantile, 5	AD	N/A
SPTB	Spherocytosis, type 2; Ellipsocytosis, type 3; Anemia, neonatal hemolytic	AD/AR	Pediatric
SPTBN2	Spinocerebellar ataxia 5, autosomal dominant; Spinocerebellar ataxia 14, autosomal recessive	AD/AR	N/A
SPTLC1	Neuropathy, hereditary sensory and autonomic, type IA; Neuropathy, hereditary sensory and autonomic, type IC	AD	N/A
SQSTM1	Paget disease of bone 3	AD	Pediatric
SRCAP	Floating-Harbor syndrome	AD	N/A
SRD5A2	Steroid 5-alpha-reductase 2 deficiency	AR	Pediatric
SRD5A3	Kahrizi syndrome; Congenital disorder of glycosylation, type Iq	AR	Pediatric
SRP72	Bone marrow failure syndrome 1	AD	Pediatric
SRPX2	Rolandic epilepsy, mental retardation, and speech dyspraxia	XL	N/A
SRY	46,XY disorder of sex development; 46, XX disorder of sex development	YL	Pediatric
SSR4	Congenital disorder of glycosylation, type Iy	XL	N/A
SSTR5	Resistance to somatostatin treatment	AD	Pediatric
ST14	Ichthyosis, congenital, autosomal recessive 11	AR	N/A
ST3GAL3	Mental retardation, autosomal recessive 12; Epileptic encephalopathy, early infantile, 15	AR	N/A
ST3GAL5	Ganglioside GM3 synthase deficiency	AR	N/A
STAG3	Premature ovarian failure 8	AR	Pediatric
STAMBP	Microcephaly-capillary malformation syndrome	AR	N/A
STAR	Lipoid adrenal hyperplasia	AR	Pediatric
STAT1	Immunodeficiency 31A; Immunodeficiency 31B; Immunodeficiency 31C	AD/AR	Pediatric
STAT3	Hyper-IgE recurrent infection syndrome; Autoimmune disease, multisystem, infantile onset	AD	Pediatric
STAT5B	Growth hormone insensitivity with immunodeficiency	AR	Pediatric
STEAP3	Hypochromic microcytic anemia with iron overload 2	AD	Pediatric
STIL	Microcephaly, primary autosomal recessive, 7	AR	N/A
STIM1	Stormorken syndrome; Immunodeficiency 10	AD/AR	Pediatric
STK11	Peutz-Jeghers syndrome	AD	Pediatric
STK4	T-cell immunodeficiency syndrome, recurrent infections, autoimmunity, with or without cardiac malformations	AR	Pediatric
STRA6	Microphthalmia, syndromic 9; Microphthalmia, isolated, with coloboma 8	AR	N/A
STRADA	Polyhydramnios, megalencephaly, and symptomatic epilepsy	AR	N/A
STRC	Deafness, autosomal recessive 16	AR	Pediatric
STS	Steroid sulfatase deficiency	XL	Pediatric
STT3A	Congenital disorder of glycosylation, type Iw	AR	N/A
STT3B	Congenital disorder of glycosylation, type Ix	AR	N/A
STUB1	Spinocerebellar ataxia, autosomal recessive 16	AR	N/A
STX11	Hemophagocytic lymphohistiocytosis, familial, 4	AR	Pediatric
STX16	Pseudohypoparathyroidism, type IB	AD	Pediatric
STX1B	Generalized epilepsy with febrile seizures plus, type 9	AD	N/A
STXBP1	Epileptic encephalopathy, early infantile 4	AD	N/A
STXBP2	Hemophagocytic lymphohistiocytosis, familial 5	AR	Pediatric
SUCLA2	Mitochondrial DNA depletion syndrome 5	AR	Pediatric
SUCLG1	Mitochondrial DNA depletion syndrome 9 (encephalomyopathic type with methylmalonic aciduria)	AR	N/A
SUFU	Medulloblastoma; Basal cell nevus syndrome	AD	Pediatric
SUGCT	Glutaric aciduria III	AR	N/A
SUMF1	Multiple sulfatase deficiency	AR	N/A
SUMO1	Orofacial cleft 10	AD	N/A
SUOX	Sulfocysteinuria	AR	Pediatric
SURF1	Leigh syndrome	AR	N/A
SYCP3	Spermatogenic failure 4	AD	N/A
SYN1	Epilepsy, X-linked, with variable learning disabilities and behavior disorders	XL	N/A
SYNE1	Emery-Dreifuss muscular dystrophy 4, autosomal dominant; Spinocerebellar ataxia, autosomal recessive 8	AD/AR	Pediatric
SYNE2	Emery-Dreifuss muscular dystrophy 5, autosomal dominant	AD	Pediatric
SYNE4	Deafness, autosomal recessive, 76	AR	Pediatric
SYNGAP1	Mental retardation, autosomal dominant 5	AD	N/A
SYP	Mental retardation, X-linked 96	XL	N/A
SYT14	Spinocerebellar ataxia, autosomal recessive 11	AR	N/A
SYT2	Myasthenic syndrome, congenital 7	AD	N/A
SZT2	Epileptic encephalopathy, early infantile, 18	AR	N/A
T	Chordoma	AD	Pediatric
TAB2	Congenital heart defects, multiple types, 2	AD	Pediatric
TAC3	Hypogonadotropic hypogonadism	AR	Pediatric
TACO1	Mitochondrial complex IV deficiency	AR	N/A
TACR3	Hypogonadotropic hypogonadism	AR	Pediatric
TACSTD2	Corneal dystrophy, gelatinous drop-like	AR	N/A
TAF1	Dystonia 3, torsion, X-linked	XL	N/A
TAF2	Mental retardation, autosomal recessive 40	AR	N/A
TAF4B	Spermatogenic failure 13	AR	N/A
TALDO1	Transaldolase deficiency	AR	N/A
TAP1	Bare lymphocyte syndrome, type I	AR	Pediatric
TAP2	Bare lymphocyte syndrome, type I	AR	Pediatric
TAPBP	Bare lymphocyte syndrome, type I	AR	Pediatric
TARDBP	Amyotrophic lateral sclerosis 10, with or without frontotemporal dementia	AD	N/A
TARS2	Combined oxidative phosphorylation deficiency 21	AR	N/A
TAS2R38	Thiourea tasting; Phenylthiocarbamide tasting	AD	N/A
TAT	Tyrosinemia, type II	AR	Pediatric
TAZ	3-Methylglutaconic aciduria, type II (Barth syndrome)	XL	Pediatric
TBC1D20	Warburg micro syndrome 4	AR	N/A
TBC1D24	Deafness, onychodystrophy, osteodystrophy, mental retardation, and seizures (DOORS) syndrome; Deafness, autosomal recessive 86	AD/AR	Pediatric
TBC1D4	Diabetes mellitus, noninsulin-dependent 5	AR	N/A
TBC1D7	Macrocephaly/megalencephaly syndrome, autosomal recessive	AR	N/A
TBCE	Kenny-Caffey syndrome, type 1; Hypoparathyroidism-retardation-dysmorphism syndrome	AR	Pediatric
TBK1	Herpes simplex encephalitis	AD	Pediatric
TBP	Spinocerebellar ataxia 17	AD/AR	N/A
TBX1	Conotruncal anomaly face syndrome; Tetralogy of Fallot	AD	N/A
TBX15	Cousin syndrome	AR	N/A
TBX18	Congenital anomalies of the kidney and urinary tract 2	AD	Pediatric
TBX19	Adrenocorticotropic hormone deficiency	AR	Pediatric
TBX20	Atrial septal defect 4	AD	Pediatric
TBX22	Cleft palate with or without ankyloglossia	XL	N/A
TBX3	Ulnar-Mammary syndrome	AD	N/A
TBX4	Small patella syndrome	AD	N/A
TBX5	Holt-Oram syndrome	AD	Pediatric
TBX6	Spondylocostal dysostosis 5	AD	N/A
TBXA2R	Bleeding disorder, platelet-type 13, susceptibility to	AD	Pediatric
TBXAS1	Ghosal hematodiaphyseal syndrome	AR	Pediatric
TCAP	Cardiomyopathy, dilated, 1N; Cardiomyopathy, familial hypertrophic 25; Muscular dystrophy, limb-girdle, type 2G	AD/AR	Pediatric
TCF12	Craniosynostosis 3	AD	N/A
TCF4	Corneal dystrophy, Fuchs endothelial, 3; Pitt-Hopkins syndrome	AD	N/A
TCIRG1	Osteopetrosis, autosomal recessive 1	AR	Pediatric
TCN2	Transcobalamin II deficiency	AR	Pediatric
TCOF1	Treacher Collins syndrome 1	AD	Pediatric
TCTN1	Joubert syndrome 13	AR	N/A
TCTN2	Meckel syndrome 8	AR	N/A
TCTN3	Joubert syndrome 18; Orofaciodigital syndrome IV (Mohr-Majewski syndrome)	AR	N/A
TDGF1	Forebrain anomalies; Congenital cardiac malformations	AD	N/A
TDP1	Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy	AR	N/A
TDRD7	Cataract, autosomal recessive congenital 4	AR	Pediatric
TEAD1	Sveinsson choreoretinal atrophy	AD	N/A
TECPR2	Spastic paraplegia 49, autosomal recessive	AR	N/A
TECR	Mental retardation, autosomal recessive 14	AR	N/A
TECTA	Deafness, autosomal recessive 21; Deafness, autosomal dominant 8/12	AD/AR	Pediatric
TEK	Venous malformations, multiple cutaneous and mucosal	AD	Pediatric
TENM1	Microphthalmia, isolated, with coloboma 9	AR	N/A
TENM3	Microphthalmia, isolated, with coloboma 9	AR	N/A
TERC	Dyskeratosis congenita, autosomal dominant; Aplastic anemia; Pulmonary fibrosis and/or bone marrow failure, telomere-related 2	AD	Pediatric
TERT	Aplastic anemia; Dyskeratosis congenita, autosomal dominant; Dyskeratosis congenita, autosomal recessive; Pulmonary fibrosis and/or bone marrow failure, telomere-related 1	AD/AR	Pediatric
TEX11	Spermatogenic failure, X-linked 2	XL	N/A
TF	Atransferrinemia	AR	Pediatric
TFAP2A	Branchiooculofacial sydrome	AD	Pediatric
TFAP2B	Char syndrome; Patent ductus arteriosus, familial, nonsyndromic	AD	N/A
TFG	Hereditary motor and sensory neuropathy, proximal type; Spastic paraplegia 57	AR	N/A
TFR2	Hemochromatosis, type 3	AR	Pediatric
TG	Thyroid dyshormonogenesis 3	AR	Pediatric
TGDS	Catel-Manzke syndrome	AR	N/A
TGFB1	Camurati-Engelmann disease	AD	Pediatric
TGFB2	Loeys-Dietz syndrome, type 4	AD	Pediatric
TGFB3	Arrhythmogenic right ventricular dysplasia 1; Loeys-Dietz syndrome 5 (Reinhoff syndrome)	AD	Pediatric
TGFBI	Corneal dystrophy, lattice type I; Corneal dystrophy, lattice type IIIA; Corneal dystrophy of Bowman layer, type I; Corneal dystrophy, Avellino type; Corneal dystrophy, Reis-Bucklers type; Corneal dystrophy, Thiel-Behnke type; Corneal dystrophy, Groenouw type I; Corneal dystrophy, epithelial basement membrane 	AD	N/A
TGFBR1	Loeys-Dietz syndrome, type 1A; Loeys-Dietz syndrome, type 2A	AD	Pediatric
TGFBR2	Loeys-Dietz syndrome, type 2B; Loeys-Dietz syndrome, type 1B	AD	Pediatric
TGIF1	Holoprosencephaly 4	AD	N/A
TGM1	Ichthyosis, congenital, autosomal recessive 1	AR	N/A
TGM5	Peeling skin syndrome 2	AR	N/A
TGM6	Spinocerebellar ataxia 35	AD	N/A
TH	Segawa syndrome, autosomal recessive	AR	Pediatric
THAP1	Dystonia 6, torsion	AD	N/A
THBD	Thrombophilia due to thrombomodulin defect; Hemolytic uremic syndrome, atypical, susceptibility to, 6	AD	Pediatric (Hemolytic uremic syndrome, atypical, susceptibility to, 6); Adult (Thrombophilia due to thrombomodulin defect)
THOC2	Mental retardation, X-linked 12	XL	N/A
THPO	Thrombocythemia 1	AD	Pediatric
THRA	Hypothyroidism, congenital, nongoitrous, 6	AD	Pediatric
THRB	Thyroid hormone resistance, general; Thyroid hormone resistance, selective pituitary 	AD/AR	Pediatric
TIA1	Welander distal myopathy	AD	N/A
TICAM1	Herpes simplex encephalitis, susceptibility to, 4	AD/AR	Pediatric
TIMM8A	Opticoacoustic nerve atrophy with dementia; Jensen syndrome; Mohr-Tranebjaerg syndrome 	XL	Pediatric
TIMP3	Sorsby fundus dystrophy	AD	N/A
TINF2	Dyskeratosis congenita, autosomal dominant 3; Revesz syndrome	AD	Pediatric
TJP2	Hypercholanemia, familial; Cholestasis, progressive familial intrahepatic 4	AR	Pediatric
TK2	Mitochondrial DNA depletion syndrome 2 	AR	N/A
TLL1	Atrial septal defect 6	AD	Pediatric
TLR3	Herpes simplex encephalitis, susceptibility to, 2	AD/AR	Pediatric
TMC1	Deafness, autosomal recessive 7	AR	Pediatric
TMC6	Epidermodysplasia verruciformis	AR	Pediatric
TMC8	Epidermodysplasia verruciformis	AR	Pediatric
TMCO1	Craniofacial dysmorphism, skeletal anomalies, and mental retardation syndrome	AR	Pediatric
TMEM126A	Optic atrophy 7	AR	N/A
TMEM127	Pheochromocytoma	AD	Adult
TMEM138	Joubert syndrome 16	AR	N/A
TMEM165	Congenital disorder of glycosylation, type IIk	AR	N/A
TMEM173	STING-associated vasculopathy, infantile-onsent (SAVI)	AD	N/A
TMEM216	Joubert syndrome 2; Meckel syndrome 2	AR	N/A
TMEM231	Joubert syndrome 20; Meckel syndrome 11	AR	N/A
TMEM237	Joubert syndrome 14	AR	N/A
TMEM240	Spinocerebellar ataxia 21	AD	N/A
TMEM38B	Osteogenesis imperfecta, type XIV	AR	N/A
TMEM43	Arrhythmogenic right ventricular dysplasia 5; Emery-Dreifuss muscular dystrophy 7	AD	Pediatric
TMEM5	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 10	AR	N/A
TMEM67	Nephronophthisis 11; Meckel syndrome 3; Joubert syndrome 6; COACH syndrome	AR	N/A
TMEM70	Mitochondrial complex V (ATP synthase) deficiency, nuclear type 2	AR	N/A
TMEM98	Nanophthalmos 4	AD	N/A
TMIE	Deafness, autosomal recessive 6	AR	Pediatric
TMLHE	Epsilon-trimethyllysine hydroxylase deficiency	AD	N/A
TMPO	Cardiomyopathy, dilated, 1T	AD	Pediatric
TMPRSS15	Enterokinase deficiency	AR	Pediatric
TMPRSS3	Deafness, autosomal recessive 10; Deafness, autosomal recessive 8	AR	Pediatric
TMPRSS6	Iron-refractory iron deficiency anemia	AR	Pediatric
TNC	Deafness, autosomal dominant 56	AD	N/A
TNFRSF10B	Squamous cell carcinoma, head and neck	AD	Pediatric
TNFRSF11A	Familial expansile osteolysis; Paget disease of bone 2, early-onset; Osteopetrosis, autosomal recessive 7	AD/AR	Pediatric (Polyostotic osteolytic dysplasia, hereditary expansile/Osteopetrosis, autosomal recessive 7); Adult (Paget disease of bone)
TNFRSF11B	Paget disease of bone 5, juvenile	AR	Pediatric
TNFRSF13B	Immunoglobulin A deficiency 2; Common variable immunodeficiency 2	AD/AR	Pediatric
TNFRSF13C	Immunodeficiency, common variable 4	AR	Pediatric
TNFRSF1A	Periodic fever, familial (TNF receptor-associated periodic syndrome)	AD	Pediatric
TNFRSF4	Immunodeficiency 16	AR	Pediatric
TNFSF11	Osteopetrosis, autosomal recessive 2	AR	Pediatric
TNNC1	Cardiomyopathy, familial hypertrophic 13; Cardiomyopathy, dilated, 1Z	AD	Pediatric
TNNI2	Arthrogryposis multiplex congenita, distal, type 2B	AD	N/A
TNNI3	Cardiomyopathy, familial hypertrophic 7; Cardiomyopathy, dilated 1FF; Cardiomyopathy, dilated, 2A; Cardiomyopathy, familial restrictive	AD/AR	Pediatric
TNNI3K	Cardiac conduction disease with or without dilated cardiomyopathy	AD	Pediatric
TNNT1	Nemaline myopathy 5	AR	N/A
TNNT2	Cardiomyopathy, familial restrictive, 3; Cardiomyopathy, dilated, 1D; Left ventricular noncompaction 6; Cardiomyopathy, familial hypertrophic, 2 	AD	Pediatric
TNNT3	Arthyrgryposis, distal, type 2B	AD	N/A
TNPO3	Muscular dystrophy, limb-girdle, type 1F	AD	N/A
TNXB	Vesicoureteral reflux 8; Ehlers-Danlos syndrome, autosomal recessive, due to tenascin X deficiency	AD/AR	Pediatric
TOPORS	Retitinis pigmentosa 31	AD	N/A
TOR1A	Dystonia 1, torsion	AD	N/A
TP53	Li-Fraumeni syndrome; Choroid plexus papilloma; Ependymoma, intracranial; Osteogenic sarcoma; Breast cancer, familial; Hepatoblastoma; Non-Hodgkin lymphoma; Adrenocortical carcinoma; Colorectal cancer	AD	Pediatric
TP63	Split-hand/foot malformation 4; Ectrodactyly, ectodermal dysplasia, and cleft lip/palate syndrome 3; Limb-mammary syndrome; Rapp-Hodgkin syndrome; Orofacial cleft 8; ADULT syndrome; Ankyloblepharon-ectodermal defects-cleft lip/palate	AD	N/A
TPCN2	Skin/hair/eye pigmentation, variation in, 10	AD	N/A
TPI1	Triosephosphate isomerase deficiency	AR	Pediatric
TPK1	Thiamine metabolism dysfunction syndrome 5	AR	Pediatric
TPM1	Cardiomyopathy, dilated, 1Y; Cardiomyopathy, familial hypertrophic, 3	AD	Pediatric
TPM2	Nemaline myopathy 4; CAP myopathy; Arthrogryposis, distal, type 1A; Arthrogryposis, distal, type 2B	AD	N/A
TPM3	Nemaline myopathy 1, autosomal dominant; CAP myopathy; Myopathy, congenital, with fiber-type disproportion	AD	N/A
TPMT	Thiopurine S-methyltransferase deficiency	AR	Pediatric
TPO	Thyroid dyshormonogenesis 2A	AR	Pediatric
TPP1	Ceroid lipofuscinosis, neuronal, 2; Spinocerebellar ataxia, autosomal recessive 7	AR	N/A
TPRN	Deafness, autosomal recessive 79	AR	Pediatric
TRAC	T-cell receptor-alpha/beta deficiency	AR	Pediatric
TRAF3	Herpes simplex encephalitis, susceptibility to, 3	AD	Pediatric
TRAF3IP1	Senior-Loken syndrome 9	AR	N/A
TRAF3IP2	Candidiasis, familial 8	AR	Pediatric
TRAP1	Congenital abnormalities of the kidney and urinary tract; VACTERL association	AR	Pediatric
TRAPPC11	Limb-girdle muscular dystrophy, type 2S	AR	N/A
TRAPPC2	Spondyloepiphyseal dysplasia tarda, X-linked	XL	N/A
TRAPPC9	Mental retardation, autosomal recessive 13	AR	N/A
TRDN	Ventricular tachycardia, catecholaminergic polymorphic, 5, with or without muscle weakness	AR	Pediatric
TREM2	Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy; Nasu-Hakola disease; Early-onset dementia without bone cysts	AR	N/A
TREX1	Chilblain lupus 1; Vasculopathy, retinal, with cerebral leukodystrophy; Aicardi-Goutieres syndrome 1	AD/AR	N/A
TRHR	Thyrotropin-releasing hormone resistance, generalized	AR	Pediatric
TRIM2	Charcot-Marie-Tooth disease, axonal, type 2R	AR	N/A
TRIM32	Muscular dystrophy, limb-girdle, type 2H; Bardet-Biedl syndrome 11 	AR	N/A
TRIM37	Mulibrey nanism	AR	Pediatric
TRIOBP	Deafness, autosomal recessive 28	AR	Pediatric
TRIP11	Achondrogenesis, type IA	AR	N/A
TRMT10A	Microcephaly, short stature, and impaired glucose metabolism	AR	Pediatric
TRMT5	Combined oxidative phosphorylation deficiency 26	AR	N/A
TRMU	Liver failure, infantile, transient; Reversible infantile respiratory chain deficiency	AR	N/A
TRNH	Deafness, nonsyndromic, sensorineural	Maternal	Pediatric
TRNI	Deafness, mitochondrial; Hypertension, hypercholesterolemia, and hypomagnesemia  (Maternal)	Maternal	Pediatric
TRNK	Parkinson disease, mitochondrial; Myoclonic epilepsy with ragged red fibers; Diabetes-deafness syndrome; Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke-like episodes	Maternal	N/A
TRNP	Myoclonic epilepsy with ragged red fibers	Maternal	N/A
TRNQ	Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke-like episodes	Maternal	N/A
TRNS2	Myoclonic epilepsy with ragged red fibers; Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke-like episodes; Retinitis pigmentosa-deafness syndrome	Maternal	N/A
TRNT	Mitochondrial myopathy, lethal	Maternal	N/A
TRNT1	Sideroblastic anemia with B-cell immunodeficiency, periodic fevers, and developmental delay	AR	Pediatric
TRPA1	Episodic pain syndrome, familial	AD	N/A
TRPC3	Spinocerebellar ataxia 41	AD	N/A
TRPC6	Focal segmental glomerulosclerosis 2	AD	N/A
TRPM1	Night blindness, congenital stationary, type 1C	AR	N/A
TRPM4	Progressive familial heart block, type IB	AD	Pediatric
TRPM6	Hypomagnesemia 1, intestinal	AR	Pediatric
TRPS1	Trichorhinophalangeal syndrome, type I; Trichorhinophalangeal syndrome, type III	AD	N/A
TRPV3	Olmsted syndrome; Palmoplantar keratoderma, nonepidermolytic focal 2	AD	N/A
TRPV4	Spinal muscular atrophy, distal, congenital nonprogressive; Brachyolmia type 3; Metatropic dysplasia; Spondyloepiphyseal dysplasia, Maroteaux type; Scapuloperoneal spinal muscular atrophy; Hereditary motor and sensory neuropathy, type Iic; Spondylometaphyseal dysplasia, Kozlowski type; Parastremmatic dwarfism; Digital arthropathy-brachydactyly, familial 	AD	N/A
TRRAP	Schizophrenia	AD	N/A
TSC1	Tuberous sclerosis; Lymphangioleiomyomatosis	AD	Pediatric
TSC2	Tuberous sclerosis 2; Lymphangioleiomyomatosis 	AD	Pediatric
TSEN2	Pontocerebellar hypoplasia type 2B	AR	N/A
TSEN34	Pontocerebellar hypoplasia type 2C	AR	N/A
TSEN54	Pontocerebellar hypoplasia, type 2A; Pontocerebellar hypoplasia type 4; Pontocerebellar hypoplasia type 5	AR	N/A
TSFM	Combined oxidative phosphorylation deficiency 3	AR	N/A
TSHB	Hypothyroidism, congenital, nongoitrous, 4	AR	Pediatric
TSHR	Hyperthyroidism, familial, gestational; Hyperthyroidism, nonautoimmune; Hypothyroidism, congenital, nongoitrous, 1	AD/AR	Pediatric
TSHZ1	Aural atresia, congenital	AD	Pediatric
TSPAN12	Exudative vitreoretinopathy 5; Retinal dysplasia and severe familial exudative vitreoretinopathy	AD/AR	N/A
TSPAN7	Mental retardation, X-linked 58	XL	N/A
TSPEAR	Deafness, autosomal recessive 98	AR	Pediatric
TSPYL1	Sudden infant death with dysgenesis of the testes syndrome; 46, XY disorder of sex development	AR	N/A
